"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "HTML", "JavaScript JSX", "XML", "CSS", "comment", "blank", "total"
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\personal information\useGetTrainerPersonalInfo.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\professional credentials\PendingTrainerProfessionalData.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 3, 5, 21
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\professional credentials\clientsTransformation\PendingTrainerClientTransformationCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\professional credentials\clientsTransformation\PendingTrainerClientsTransformation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 33
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\professional credentials\clientsTransformation\useGetPendingTrainerClientsTransformation.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\professional credentials\professionalCredentials\PendingTrainerProfessionalCred.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 4, 11
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\professional credentials\professionalCredentials\PendingTrainerProfessionalCredForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 1, 5, 43
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\professional credentials\professionalCredentials\PendingTrainerProfessionalCredentials.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\professional credentials\professionalCredentials\PendingTrainerSocialMedia.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 1, 3, 53
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Admin\trainer approval\trainer profile\professional credentials\professionalCredentials\useGetPendingTrainerProfessionalCred.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
